c0608a-s22.ufhpc
Thu Dec 18 10:35:16 AM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version4_hold_out
[      grid] t= 845s  evals=   109  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 868s  evals=   112  best_cv=0.83205  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 5, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 889s  evals=   115  best_cv=0.83230  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 20, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] t= 899s  evals=   117  best_cv=0.83230  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 20, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[      grid] DONE  t=913.8s  evals=117  best_cv=0.83230  params={'learning_rate': 0.001, 'max_depth': 3, 'max_leaf_nodes': 31, 'max_bins': 32, 'min_samples_leaf': 20, 'l2_regularization': 10.0, 'early_stopping': True, 'validation_fraction': 0.2, 'n_estimators': 1000}
[    random] t=  12s  evals=     3  best_cv=0.86421  params={'max_depth': 4, 'max_leaf_nodes': 21, 'learning_rate': 0.07142927620035626, 'max_bins': 94, 'min_samples_leaf': 62, 'l2_regularization': 9.479064963923032e-06, 'early_stopping': True, 'validation_fraction': 0.21917487185572782, 'n_estimators': 658}
[    random] t=  29s  evals=     5  best_cv=0.86421  params={'max_depth': 4, 'max_leaf_nodes': 21, 'learning_rate': 0.07142927620035626, 'max_bins': 94, 'min_samples_leaf': 62, 'l2_regularization': 9.479064963923032e-06, 'early_stopping': True, 'validation_fraction': 0.21917487185572782, 'n_estimators': 658}
[    random] t=  50s  evals=     7  best_cv=0.87082  params={'max_depth': 4, 'max_leaf_nodes': 26, 'learning_rate': 0.044994382547235, 'max_bins': 229, 'min_samples_leaf': 79, 'l2_regularization': 7.880443227466746, 'early_stopping': True, 'validation_fraction': 0.26662091668881743, 'n_estimators': 489}
[    random] t=  68s  evals=    10  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
[    random] t=  87s  evals=    12  best_cv=0.87096  params={'max_depth': 4, 'max_leaf_nodes': 170, 'learning_rate': 0.03867637126517001, 'max_bins': 168, 'min_samples_leaf': 191, 'l2_regularization': 5.172213887758585e-05, 'early_stopping': False, 'validation_fraction': 0.14486386043941196, 'n_estimators': 755}
