c0602a-s23.ufhpc
Wed Dec 17 06:13:56 PM EST 2025
/orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
Workspace is /orange/ruogu.fang/junfu.cheng/SMILE/ml_exp/hpo_quicklab_version2_hold_out
[    random] t= 499s  evals=    60  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 509s  evals=    61  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 520s  evals=    64  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 544s  evals=    66  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 554s  evals=    67  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 572s  evals=    69  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] t= 591s  evals=    71  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[    random] DONE  t=601.5s  evals=71  best_cv=0.87205  params={'max_depth': 5, 'max_leaf_nodes': 217, 'learning_rate': 0.05025774908254449, 'max_bins': 184, 'min_samples_leaf': 21, 'l2_regularization': 0.0004935954886846896, 'early_stopping': False, 'validation_fraction': 0.18227858627478427, 'n_estimators': 666}
[     bayes] t=  24s  evals=    19  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  34s  evals=    21  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  47s  evals=    24  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  57s  evals=    28  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  70s  evals=    30  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  89s  evals=    32  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t=  99s  evals=    33  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 115s  evals=    36  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 134s  evals=    40  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 145s  evals=    42  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 155s  evals=    46  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 167s  evals=    51  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 179s  evals=    54  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 190s  evals=    60  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
[     bayes] t= 204s  evals=    63  best_cv=0.87257  params={'max_depth': 4, 'max_leaf_nodes': 181, 'learning_rate': 0.11464295569437317, 'max_bins': 161, 'min_samples_leaf': 81, 'l2_regularization': 0.0010724409577660102, 'early_stopping': False, 'validation_fraction': 0.10001924636646033, 'n_estimators': 511}
